resource_const,action_class,action_const,superclass,auth,auth_effective,classification,http_method,blocking,route,file,line_start,line_end
VpsAdmin::API::Resources::DnsServer,Show,VpsAdmin::API::Resources::DnsServer::Show,HaveAPI::Actions::Default::Show,,True,authenticated,,,,api/lib/vpsadmin/api/resources/dns_server.rb,49,69
VpsAdmin::API::Resources::DnsServer,Update,VpsAdmin::API::Resources::DnsServer::Update,HaveAPI::Actions::Default::Update,,True,admin_only,,,,api/lib/vpsadmin/api/resources/dns_server.rb,95,115
VpsAdmin::API::Resources::DnsServerZone,Create,VpsAdmin::API::Resources::DnsServerZone::Create,HaveAPI::Actions::Default::Create,,True,admin_only,,True,,api/lib/vpsadmin/api/resources/dns_server_zone.rb,82,111
VpsAdmin::API::Resources::DnsServerZone,Delete,VpsAdmin::API::Resources::DnsServerZone::Delete,HaveAPI::Actions::Default::Delete,,True,admin_only,,True,,api/lib/vpsadmin/api/resources/dns_server_zone.rb,113,130
VpsAdmin::API::Resources::DnsServerZone,Index,VpsAdmin::API::Resources::DnsServerZone::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_server_zone.rb,24,58
VpsAdmin::API::Resources::DnsServerZone,Show,VpsAdmin::API::Resources::DnsServerZone::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_server_zone.rb,60,80
VpsAdmin::API::Resources::DnsTsigKey,Create,VpsAdmin::API::Resources::DnsTsigKey::Create,HaveAPI::Actions::Default::Create,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_tsig_key.rb,78,104
VpsAdmin::API::Resources::DnsTsigKey,Delete,VpsAdmin::API::Resources::DnsTsigKey::Delete,HaveAPI::Actions::Default::Delete,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_tsig_key.rb,106,123
VpsAdmin::API::Resources::DnsTsigKey,Index,VpsAdmin::API::Resources::DnsTsigKey::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_tsig_key.rb,20,54
VpsAdmin::API::Resources::DnsTsigKey,Show,VpsAdmin::API::Resources::DnsTsigKey::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_tsig_key.rb,56,76
VpsAdmin::API::Resources::DnsZone,Create,VpsAdmin::API::Resources::DnsZone::Create,HaveAPI::Actions::Default::Create,,True,authenticated,,True,,api/lib/vpsadmin/api/resources/dns_zone.rb,89,140
VpsAdmin::API::Resources::DnsZone,Delete,VpsAdmin::API::Resources::DnsZone::Delete,HaveAPI::Actions::Default::Delete,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dns_zone.rb,177,209
VpsAdmin::API::Resources::DnsZone,Index,VpsAdmin::API::Resources::DnsZone::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_zone.rb,28,64
VpsAdmin::API::Resources::DnsZone,Show,VpsAdmin::API::Resources::DnsZone::Show,HaveAPI::Actions::Default::Show,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_zone.rb,66,87
VpsAdmin::API::Resources::DnsZone,Update,VpsAdmin::API::Resources::DnsZone::Update,HaveAPI::Actions::Default::Update,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dns_zone.rb,142,175
VpsAdmin::API::Resources::DnsZoneTransfer,Create,VpsAdmin::API::Resources::DnsZoneTransfer::Create,HaveAPI::Actions::Default::Create,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dns_zone_transfer.rb,78,117
VpsAdmin::API::Resources::DnsZoneTransfer,Delete,VpsAdmin::API::Resources::DnsZoneTransfer::Delete,HaveAPI::Actions::Default::Delete,,True,owner_or_admin,,True,,api/lib/vpsadmin/api/resources/dns_zone_transfer.rb,119,145
VpsAdmin::API::Resources::DnsZoneTransfer,Index,VpsAdmin::API::Resources::DnsZoneTransfer::Index,HaveAPI::Actions::Default::Index,,True,owner_or_admin,,,,api/lib/vpsadmin/api/resources/dns_zone_transfer.rb,20,54
